Country,mean,mean_sd,max,max_sd,min,min_sd,Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Albania,15.820183348968547,3.61925532649504,22.1260207328249,4.439839620674574,10.153784085378907,4.203654781023214,Europe,2.1,-3.3,8.9,4.8,3.6,3.3,3.4,3.5,3.5,3.5
Armenia,9.445884261053667,4.730592103901231,15.448048159102436,5.543314858747954,4.264873750261691,5.060833446061334,Asia,7.6,-7.2,5.7,12.6,7.0,5.0,4.5,4.5,4.5,4.5
Austria,8.891426325803842,4.384139982742574,11.680707397137938,5.787136091917122,6.6088197560127675,4.698595213495011,Europe,1.5,-6.5,4.6,4.8,0.1,0.8,1.7,1.9,1.7,1.3
Azerbaijan,14.8445935623204,3.129184419128151,19.754016174654453,4.058232813414199,10.626055458906757,3.183419098728051,Asia,2.5,-4.2,5.6,4.6,2.5,2.5,2.5,2.5,2.5,2.5
Bangladesh,25.98002866323056,2.449028845184718,30.660476321954366,3.171988807846612,23.11512312088883,3.584755496301741,Asia,7.9,3.4,6.9,7.1,6.0,6.0,6.6,7.1,7.2,7.0
Belarus,7.7350106820629625,3.1793062302376014,11.719479492204742,3.820048762818112,3.8891648568956687,3.6624858834529426,Europe,1.4,-0.7,2.3,-3.7,1.6,1.3,0.6,0.7,0.9,0.6
Belgium,11.254738733369694,3.37783888715772,15.400636134120079,3.949414117020915,7.5208424777128045,3.833350447435548,Europe,2.3,-5.4,6.3,3.2,1.0,0.9,1.2,1.2,1.2,1.3
Bosnia and Herzegovina,12.559726682099667,5.2110257537639155,14.656646155650138,6.4145600485132475,10.94315421321761,5.5202996459428775,Europe,2.9,-3.0,7.4,4.1,2.0,3.0,3.0,3.0,3.0,3.0
Brunei Darussalam,27.36753904249872,1.0907081696812329,31.627359511008706,1.836840066047169,24.388960253456222,1.3888096332966187,Asia,3.9,1.1,-1.6,-1.6,-0.8,3.5,2.8,3.0,3.1,3.2
Bulgaria,11.163800155937253,6.066557090030703,16.537361751152073,7.558947473629394,6.573709444677186,5.5076362362490805,Europe,4.0,-4.0,7.6,3.4,1.7,3.2,3.0,2.9,2.8,2.8
Cambodia,24.338773794131413,2.188798682514703,25.205441963201924,2.3487756183067847,23.64219142901389,2.2076341166242694,Asia,7.1,-3.1,3.0,5.2,5.6,6.1,6.4,6.5,6.2,6.3
"China, People's Republic of",12.413503338569896,8.046547747503858,16.094486687864997,8.436912461800057,9.327202557263808,9.257975138020656,Asia,6.0,2.2,8.4,3.0,5.0,4.2,4.1,4.1,3.7,3.4
Croatia,14.450105414480186,4.142435563804304,19.359435272818345,4.582219634629858,10.292184756760536,4.704812185680004,Europe,3.4,-8.5,13.1,6.2,2.7,2.6,2.7,2.9,2.8,2.8
Cyprus,18.570400103234217,3.7531554436523096,21.772095944163496,5.534928975273014,15.184388696419937,2.5649866467425957,Europe,5.5,-4.4,6.6,5.6,2.2,2.7,3.0,3.0,3.0,2.9
Czech Republic,8.825339325500616,3.865717760286375,8.86423437262147,3.8090383637775784,8.792607215510442,3.93912798908808,Europe,3.0,-5.5,3.6,2.3,0.2,2.3,2.9,2.7,2.5,2.5
Denmark,9.696296781236578,2.4931314511796536,11.687655512658397,3.1920269682382294,7.819146009288716,3.2966289198303826,Europe,1.5,-2.4,6.8,2.7,1.7,1.4,1.2,1.3,1.3,1.3
Estonia,7.139389017038997,3.174901591449782,10.642678352168419,3.412678238720799,3.2656841477322396,3.873084259532508,Europe,4.0,-1.0,7.2,-0.5,-2.3,2.4,2.7,2.9,3.0,2.9
Finland,4.339665179550779,4.445208879066188,7.1239309835537625,4.721454552698157,1.371046520464614,5.3149145920328165,Europe,1.2,-2.4,3.2,1.6,-0.1,1.0,1.3,1.6,1.6,1.6
France,13.907933850690652,3.678155032970673,15.450231112955821,4.533870663340909,12.540144530898639,4.410724501381028,Europe,1.9,-7.7,6.4,2.5,1.0,1.3,1.8,1.7,1.5,1.4
Georgia,11.53070027387461,4.5264888449259715,17.138876471284785,5.683598714613502,7.952119152685359,5.852721119331142,Asia,5.0,-6.8,10.5,10.1,6.2,4.8,5.2,5.2,5.2,5.2
Germany,10.297109348564776,3.650300813876378,11.930556258971366,4.5937089242890154,8.801675650355396,4.181775632254017,Europe,1.1,-3.8,3.2,1.8,-0.5,0.9,2.0,1.9,1.3,0.9
Greece,17.191254191792297,3.3573118728715383,17.191254191792297,3.3573118728715383,17.191254191792297,3.3573118728715383,Europe,1.9,-9.0,8.4,5.9,2.5,2.0,1.4,1.4,1.2,1.1
Hong Kong SAR,23.2145023469224,2.474207952155322,23.834521428691442,3.0958521540108683,22.786693398986625,2.4523064804535273,Asia,-1.7,-6.5,6.4,-3.5,4.4,2.9,2.9,2.7,2.6,2.4
Hungary,11.709826647054042,3.20096135281389,14.748189085156929,4.674096386718861,8.949174044664064,4.218412975008521,Europe,4.9,-4.5,7.2,4.6,-0.3,3.1,3.3,3.4,3.4,3.5
Iceland,3.2677628626994775,3.480446422770328,5.012021438770003,3.6290314028724207,1.438322550557712,4.045201560067016,Europe,1.9,-7.2,4.5,7.2,3.3,1.7,2.2,2.4,2.3,2.4
India,25.915096818637906,4.610245748000924,31.10347705490686,5.388797335184246,21.05136843231703,5.0834765445392,Asia,3.9,-5.8,9.1,7.2,6.3,6.3,6.3,6.3,6.3,6.3
Indonesia,26.922446274541528,2.0096700427638994,31.28663649554666,2.451386970440663,23.68087580595495,2.131481486835072,Asia,5.0,-2.1,3.7,5.3,5.0,5.0,5.0,5.0,5.0,5.0
Ireland,10.671900773636224,2.1851414404625444,11.600799292430729,2.7925749560541244,9.848100425690482,2.7559275864288058,Europe,5.3,6.6,15.1,9.4,2.0,3.3,3.2,2.7,2.7,2.7
Italy,15.620659666793292,4.639957730636539,17.996427231967367,5.699192877405907,13.585287970987407,4.992576597421004,Europe,0.5,-9.0,7.0,3.7,0.7,0.7,1.0,1.1,1.0,0.9
Japan,15.830544890857647,5.325176973211959,19.85748803604135,5.439011290841468,12.343171697066905,5.755568922198404,Asia,-0.4,-4.2,2.2,1.0,2.0,1.0,0.6,0.5,0.4,0.4
Kazakhstan,8.128480358438757,6.341863202840414,13.588012522292404,6.7796552404182435,4.389999710430192,7.661379510599936,Asia,4.5,-2.6,4.1,3.3,4.6,4.2,4.6,1.8,3.1,3.0
"Korea, Republic of",13.45240334741654,3.6642628046148853,18.500489987388946,3.8161363191657904,9.408671873569865,4.416403512469349,Asia,2.2,-0.7,4.3,2.6,1.4,2.2,2.3,2.2,2.2,2.1
Kyrgyz Republic,9.424342952234657,7.347082126372901,15.879154963060493,7.444591791725929,3.051675627240144,7.735108006815962,Asia,4.6,-7.1,5.5,6.3,3.4,4.3,3.9,4.0,4.0,4.0
Lao P.D.R.,24.723712427082457,3.4563513450152397,29.207508673428567,4.664480181143687,20.4588304613249,3.4542022491444073,Asia,4.7,-0.4,2.1,2.3,4.0,4.0,4.1,4.2,4.3,4.5
Latvia,7.428932709893048,3.173031396945619,10.697003613242181,3.5601212974737613,4.265945455223107,3.709142543105564,Europe,2.6,-2.3,4.3,2.8,0.5,2.6,3.2,3.2,3.3,3.2
Lithuania,7.937657078924688,3.0631389654981684,11.877093033900008,3.5023329017993987,4.279467182595841,3.696026958004438,Europe,4.6,0.0,6.0,1.9,-0.2,2.7,2.6,2.5,2.2,2.1
Luxembourg,11.189278389372475,3.2865979549157345,15.351312581783013,3.925342889378801,7.5393440291289755,3.3621360844587453,Europe,2.9,-0.9,7.2,1.4,-0.4,1.5,2.4,2.5,2.3,2.3
Macao SAR,22.587483998975937,2.0794026732559128,25.406614183307735,2.835914620052867,20.854957757296468,2.16818962391343,Asia,-2.5,-54.2,19.3,-26.8,74.4,27.2,14.5,6.1,3.3,3.4
Malaysia,26.83009632734016,2.272744695256002,29.400168437329615,3.104117614034431,25.204232138944054,2.854418458718982,Asia,4.4,-5.5,3.3,8.7,4.0,4.3,4.4,4.4,3.9,3.9
Maldives,28.451182902385593,0.9929350521747743,31.105400077153316,1.2546069282732373,26.043787387683906,1.7886121996481672,Asia,6.9,-33.4,41.7,13.9,8.1,5.0,6.5,5.9,5.5,5.1
Malta,19.67601862519201,1.7847323895476734,23.657840501792112,2.2443616736274845,16.330606438812087,1.976227442112531,Europe,7.1,-8.1,12.3,6.9,3.8,3.3,3.5,3.5,3.5,3.5
Moldova,11.07098638312852,3.2563099905684614,16.305978002592166,4.272095579743913,6.390733406938043,3.4338081432822762,Europe,3.6,-8.3,13.9,-5.0,2.0,4.3,5.0,5.0,5.0,5.0
Mongolia,0.576833530028849,5.501994961565423,7.584284543479074,6.1054127891658245,-5.646468823760819,5.6048116222472055,Asia,5.6,-4.6,1.6,5.0,5.5,4.5,3.5,3.5,3.5,4.0
Montenegro,15.111799141231996,3.9716906822381404,20.21702065569878,4.537478585903653,10.377885956295406,4.961091248655388,Europe,4.1,-15.3,13.0,6.1,4.5,3.7,3.2,3.0,3.0,3.0
Myanmar,25.978211691297446,3.7223294308925454,31.745075336880547,3.9312015607234088,20.16889368424676,4.435888584083632,Asia,6.8,3.2,-17.9,2.0,2.6,2.6,2.5,2.6,2.9,3.4
Nepal,21.605176488349077,4.491498059712713,26.74317117550193,4.910878271478285,16.564740710059464,5.086327454800689,Asia,6.7,-2.4,4.8,5.6,0.8,5.0,5.2,5.1,5.1,5.1
Netherlands,11.568640195621027,2.8229495863173137,14.811564869437381,3.6029923072782317,8.49383903913575,3.5128814645329243,Europe,2.0,-3.9,6.2,4.3,0.6,1.1,1.5,1.6,1.6,1.6
Norway,4.887610483473113,4.893675317577075,8.199004787891404,5.411856961516306,1.709182911156537,5.197180851072897,Europe,1.1,-1.3,3.9,3.3,2.3,1.5,1.2,1.5,1.4,1.4
Pakistan,23.96324824475573,5.7124786640236955,29.913747208585736,5.834353840251283,19.88490368094347,7.28363034547358,Asia,3.1,-0.9,5.8,6.1,-0.5,2.5,3.6,4.5,5.0,5.0
Philippines,27.035318705447825,2.1033366448045414,30.500908457396452,2.9057169870915733,24.17423945222085,2.3094533322734323,Asia,6.1,-9.5,5.7,7.6,5.3,5.9,6.1,6.2,6.3,6.4
Poland,9.22882426645466,3.6166597083870826,9.312169676126713,3.668807714152694,9.152593754641142,3.650909850869818,Europe,4.4,-2.0,6.9,5.1,0.6,2.3,3.4,3.2,3.1,3.1
Portugal,16.818231279831902,3.0389970426632242,17.72559642192906,3.744665490407853,16.08482855034696,3.318716627663701,Europe,2.7,-8.3,5.5,6.7,2.3,1.5,2.1,2.0,1.9,1.9
Romania,10.460742115539377,4.51906255156878,16.248387208788838,5.687401372193764,5.578834321519352,4.317514300275254,Europe,3.8,-3.7,5.9,4.7,2.2,3.8,3.8,3.8,3.8,3.7
Russian Federation,0.9329125851204042,8.234979932833271,5.426085560789961,8.683264233597667,-3.5122118835309224,8.609812391802429,Europe,2.2,-2.7,5.6,-2.1,2.2,1.1,1.0,1.0,0.9,0.9
Serbia,12.100330809743253,3.8875225044567165,18.09415247147246,5.183843189347464,7.020430141814791,4.02888787109811,Europe,4.3,-0.9,7.5,2.3,2.0,3.0,4.5,4.0,4.0,4.0
Singapore,27.777958269329236,0.8883847729760453,31.573015873015873,1.298319518217293,25.217204941116233,1.173508077313148,Asia,1.3,-3.9,8.9,3.6,1.0,2.1,2.5,2.5,2.5,2.5
Slovak Republic,8.95727896025909,4.851169313381619,8.95727896025909,4.851169313381619,8.95727896025909,4.851169313381619,Europe,2.5,-3.3,4.9,1.7,1.3,2.5,2.8,2.8,2.7,2.7
Slovenia,10.272804566228446,4.467890448614582,11.281658607450963,5.660368868489375,8.834877511473646,4.814222879793311,Europe,3.5,-4.2,8.2,2.5,2.0,2.2,2.6,2.8,2.8,2.8
Spain,15.238615653870829,4.864035089733746,18.498304609656625,6.043061121915591,12.525834556573129,5.576091979330293,Europe,2.0,-11.2,6.4,5.8,2.5,1.7,2.1,1.8,1.7,1.6
Sweden,5.351169973578113,4.8473462470767705,9.170209560303045,5.022839943179023,1.4377696638434418,5.650425998034865,Europe,2.0,-2.2,6.1,2.8,-0.7,0.6,2.4,2.2,2.1,2.1
Switzerland,8.419205288295414,5.242901588883836,9.630080745688442,5.744086867283514,7.418416887592514,5.6138310708910915,Europe,1.2,-2.3,5.4,2.7,0.9,1.8,1.2,1.8,1.2,1.8
Tajikistan,10.951939769874086,7.024075458533045,16.864612434946118,7.883535483270205,5.497576197498063,6.789194766484724,Asia,7.4,4.4,9.4,8.0,6.5,5.0,4.5,4.5,4.5,4.5
Thailand,27.00232517881338,1.9545096439465313,32.58504327671994,2.380378812878538,23.21918097079679,2.387322246122799,Asia,2.1,-6.1,1.5,2.6,2.7,3.2,3.1,3.0,3.0,3.0
Turkmenistan,17.98712655974042,3.715683833336513,24.07080729423588,4.794917335805803,10.8308750339456,3.673131710200843,Asia,-3.4,-2.9,4.6,1.6,2.5,2.1,2.0,1.9,1.9,1.9
"TÃ¼rkiye, Republic of",14.613036177278588,5.206035236301429,19.661989052513277,6.365691834799328,9.96095610768171,5.443182681673936,Europe,0.8,1.9,11.4,5.5,4.0,3.0,3.2,3.2,3.2,3.2
Ukraine,10.303412369024958,3.4274161469423743,14.674658469603635,4.380359468215804,6.320274836923178,3.706181716981274,Europe,3.2,-3.8,3.4,-29.1,2.0,3.2,6.5,5.0,4.0,4.0
United Kingdom,10.350170229890788,2.97641417813456,11.06639964849228,3.512240300289715,9.695356632340113,3.321699319588468,Europe,1.6,-11.0,7.6,4.1,0.5,0.6,2.0,2.0,1.8,1.5
Uzbekistan,15.28535114868824,4.029649131262625,15.28535114868824,4.029649131262625,15.28535114868824,4.029649131262625,Asia,6.0,2.0,7.4,5.7,5.5,5.5,5.5,5.5,5.5,5.5
Vietnam,25.66329791032818,3.077559300555055,29.072078384811903,3.6135881052379957,23.501135764572997,3.3887004557512928,Asia,7.4,2.9,2.6,8.0,4.7,5.8,6.9,6.8,6.8,6.8
